macro_frame,sim_time,mjc_seq_packet_a,xpbd_seq_packet_b,xpbd_macro_step_after_recv,seq_match,packet_a_eq_b,unit_count_a,unit_count_b,n_mismatch,first_mismatch_object_id,detail
511,10.219999,511,511,511,1,1,28,28,0,,ok
512,10.239999,512,512,512,1,1,28,28,0,,ok
513,10.259999,513,513,513,1,1,28,28,0,,ok
514,10.279999,514,514,514,1,1,28,28,0,,ok
515,10.299999,515,515,515,1,1,28,28,0,,ok
516,10.319999,516,516,516,1,1,28,28,0,,ok
517,10.339999,517,517,517,1,1,28,28,0,,ok
518,10.359999,518,518,518,1,1,28,28,0,,ok
519,10.379999,519,519,519,1,1,28,28,0,,ok
520,10.399999,520,520,520,1,1,28,28,0,,ok
521,10.419999,521,521,521,1,1,28,28,0,,ok
522,10.439999,522,522,522,1,1,28,28,0,,ok
523,10.459999,523,523,523,1,1,28,28,0,,ok
524,10.479999,524,524,524,1,1,28,28,0,,ok
525,10.499999,525,525,525,1,1,28,28,0,,ok
526,10.519999,526,526,526,1,1,28,28,0,,ok
527,10.539999,527,527,527,1,1,28,28,0,,ok
528,10.559999,528,528,528,1,1,28,28,0,,ok
529,10.579999,529,529,529,1,1,28,28,0,,ok
530,10.599999,530,530,530,1,1,28,28,0,,ok
531,10.619999,531,531,531,1,1,28,28,0,,ok
532,10.639999,532,532,532,1,1,28,28,0,,ok
533,10.659999,533,533,533,1,1,28,28,0,,ok
534,10.679999,534,534,534,1,1,28,28,0,,ok
535,10.699999,535,535,535,1,1,28,28,0,,ok
536,10.719999,536,536,536,1,1,28,28,0,,ok
537,10.739999,537,537,537,1,1,28,28,0,,ok
538,10.759999,538,538,538,1,1,28,28,0,,ok
539,10.779999,539,539,539,1,1,28,28,0,,ok
540,10.799999,540,540,540,1,1,28,28,0,,ok
541,10.819999,541,541,541,1,1,28,28,0,,ok
542,10.839999,542,542,542,1,1,28,28,0,,ok
543,10.859999,543,543,543,1,1,28,28,0,,ok
544,10.879999,544,544,544,1,1,28,28,0,,ok
545,10.899999,545,545,545,1,1,28,28,0,,ok
546,10.919999,546,546,546,1,1,28,28,0,,ok
547,10.939999,547,547,547,1,1,28,28,0,,ok
548,10.959999,548,548,548,1,1,28,28,0,,ok
549,10.979999,549,549,549,1,1,28,28,0,,ok
550,10.999999,550,550,550,1,1,28,28,0,,ok
551,11.019999,551,551,551,1,1,28,28,0,,ok
552,11.039999,552,552,552,1,1,28,28,0,,ok
553,11.059999,553,553,553,1,1,28,28,0,,ok
554,11.079999,554,554,554,1,1,28,28,0,,ok
555,11.099999,555,555,555,1,1,28,28,0,,ok
556,11.119999,556,556,556,1,1,28,28,0,,ok
557,11.139999,557,557,557,1,1,28,28,0,,ok
558,11.159999,558,558,558,1,1,28,28,0,,ok
559,11.179999,559,559,559,1,1,28,28,0,,ok
560,11.199999,560,560,560,1,1,28,28,0,,ok
561,11.219999,561,561,561,1,1,28,28,0,,ok
562,11.239999,562,562,562,1,1,28,28,0,,ok
563,11.259999,563,563,563,1,1,28,28,0,,ok
564,11.279999,564,564,564,1,1,28,28,0,,ok
565,11.299999,565,565,565,1,1,28,28,0,,ok
566,11.319999,566,566,566,1,1,28,28,0,,ok
567,11.339999,567,567,567,1,1,28,28,0,,ok
568,11.359999,568,568,568,1,1,28,28,0,,ok
569,11.379999,569,569,569,1,1,28,28,0,,ok
570,11.399999,570,570,570,1,1,28,28,0,,ok
571,11.419999,571,571,571,1,1,28,28,0,,ok
572,11.439999,572,572,572,1,1,28,28,0,,ok
573,11.459999,573,573,573,1,1,28,28,0,,ok
574,11.479999,574,574,574,1,1,28,28,0,,ok
575,11.499999,575,575,575,1,1,28,28,0,,ok
576,11.519999,576,576,576,1,1,28,28,0,,ok
577,11.539999,577,577,577,1,1,28,28,0,,ok
578,11.559999,578,578,578,1,1,28,28,0,,ok
579,11.579999,579,579,579,1,1,28,28,0,,ok
580,11.599999,580,580,580,1,1,28,28,0,,ok
581,11.619999,581,581,581,1,1,28,28,0,,ok
582,11.639999,582,582,582,1,1,28,28,0,,ok
583,11.659999,583,583,583,1,1,28,28,0,,ok
584,11.679999,584,584,584,1,1,28,28,0,,ok
585,11.699999,585,585,585,1,1,28,28,0,,ok
586,11.719999,586,586,586,1,1,28,28,0,,ok
587,11.739999,587,587,587,1,1,28,28,0,,ok
588,11.759999,588,588,588,1,1,28,28,0,,ok
589,11.779999,589,589,589,1,1,28,28,0,,ok
590,11.799999,590,590,590,1,1,28,28,0,,ok
591,11.819999,591,591,591,1,1,28,28,0,,ok
592,11.839999,592,592,592,1,1,28,28,0,,ok
593,11.859999,593,593,593,1,1,28,28,0,,ok
594,11.879999,594,594,594,1,1,28,28,0,,ok
595,11.899999,595,595,595,1,1,28,28,0,,ok
596,11.919999,596,596,596,1,1,28,28,0,,ok
597,11.939999,597,597,597,1,1,28,28,0,,ok
598,11.959999,598,598,598,1,1,28,28,0,,ok
599,11.979999,599,599,599,1,1,28,28,0,,ok
