macro_frame,sim_time,body_index,logical_name,com_before_x,com_before_y,com_before_z,com_after_x,com_after_y,com_after_z,target_x,target_y,target_z,com_jump_m,com_to_target_before_m,max_vtx_jump_m,max_vtx_id
18,0.360000,3,gripper_l_finger2,-0.460000,0.677157,-0.000001,-0.460000,0.677101,-0.000000,-0.460000,0.677101,-0.000000,0.000056,0.000056,0.000056,1
18,0.360000,4,gripper_r_palm,0.460000,0.697157,0.000000,0.460000,0.697101,-0.000000,0.460000,0.697101,-0.000000,0.000056,0.000056,0.000056,0
18,0.360000,5,gripper_r_finger1,0.460000,0.677157,0.000001,0.460000,0.677101,-0.000000,0.460000,0.677101,-0.000000,0.000056,0.000056,0.000056,0
18,0.360000,6,gripper_r_finger2,0.460000,0.677157,-0.000001,0.460000,0.677101,-0.000000,0.460000,0.677101,-0.000000,0.000056,0.000056,0.000056,1
19,0.380000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
19,0.380000,1,gripper_l_palm,-0.460000,0.695812,0.000000,-0.460000,0.695802,-0.000000,-0.460000,0.695802,-0.000000,0.000010,0.000010,0.000010,0
19,0.380000,2,gripper_l_finger1,-0.460000,0.675812,0.000001,-0.460000,0.675802,-0.000000,-0.460000,0.675802,-0.000000,0.000010,0.000010,0.000010,0
19,0.380000,3,gripper_l_finger2,-0.460000,0.675812,-0.000001,-0.460000,0.675802,-0.000000,-0.460000,0.675802,-0.000000,0.000010,0.000010,0.000010,1
19,0.380000,4,gripper_r_palm,0.460000,0.695812,0.000000,0.460000,0.695802,-0.000000,0.460000,0.695802,-0.000000,0.000010,0.000010,0.000010,0
19,0.380000,5,gripper_r_finger1,0.460000,0.675812,0.000001,0.460000,0.675802,-0.000000,0.460000,0.675802,-0.000000,0.000010,0.000010,0.000010,0
19,0.380000,6,gripper_r_finger2,0.460000,0.675812,-0.000001,0.460000,0.675802,-0.000000,0.460000,0.675802,-0.000000,0.000010,0.000010,0.000010,1
20,0.400000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
20,0.400000,1,gripper_l_palm,-0.460000,0.694449,0.000000,-0.460000,0.694479,-0.000000,-0.460000,0.694479,-0.000000,0.000030,0.000030,0.000030,0
20,0.400000,2,gripper_l_finger1,-0.460000,0.674449,0.000000,-0.460000,0.674479,-0.000000,-0.460000,0.674479,-0.000000,0.000030,0.000030,0.000030,3
20,0.400000,3,gripper_l_finger2,-0.460000,0.674449,-0.000000,-0.460000,0.674479,-0.000000,-0.460000,0.674479,-0.000000,0.000030,0.000030,0.000030,2
20,0.400000,4,gripper_r_palm,0.460000,0.694449,0.000000,0.460000,0.694479,-0.000000,0.460000,0.694479,-0.000000,0.000030,0.000030,0.000030,0
20,0.400000,5,gripper_r_finger1,0.460000,0.674449,0.000000,0.460000,0.674479,-0.000000,0.460000,0.674479,-0.000000,0.000030,0.000030,0.000030,3
20,0.400000,6,gripper_r_finger2,0.460000,0.674449,-0.000000,0.460000,0.674479,-0.000000,0.460000,0.674479,-0.000000,0.000030,0.000030,0.000030,2
21,0.420000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
21,0.420000,1,gripper_l_palm,-0.460000,0.693096,0.000000,-0.460000,0.693141,-0.000000,-0.460000,0.693141,-0.000000,0.000044,0.000044,0.000044,0
21,0.420000,2,gripper_l_finger1,-0.460000,0.673096,0.000000,-0.460000,0.673141,-0.000000,-0.460000,0.673141,-0.000000,0.000044,0.000044,0.000044,2
21,0.420000,3,gripper_l_finger2,-0.460000,0.673096,-0.000000,-0.460000,0.673141,-0.000000,-0.460000,0.673141,-0.000000,0.000044,0.000044,0.000044,3
21,0.420000,4,gripper_r_palm,0.460000,0.693096,0.000000,0.460000,0.693141,-0.000000,0.460000,0.693141,-0.000000,0.000044,0.000044,0.000044,0
21,0.420000,5,gripper_r_finger1,0.460000,0.673096,0.000000,0.460000,0.673141,-0.000000,0.460000,0.673141,-0.000000,0.000044,0.000044,0.000044,2
21,0.420000,6,gripper_r_finger2,0.460000,0.673096,-0.000000,0.460000,0.673141,-0.000000,0.460000,0.673141,-0.000000,0.000044,0.000044,0.000044,3
22,0.440000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
22,0.440000,1,gripper_l_palm,-0.460000,0.691770,0.000000,-0.460000,0.691787,-0.000000,-0.460000,0.691787,-0.000000,0.000017,0.000017,0.000017,0
22,0.440000,2,gripper_l_finger1,-0.460000,0.671770,0.000000,-0.460000,0.671787,-0.000000,-0.460000,0.671787,-0.000000,0.000017,0.000017,0.000017,2
22,0.440000,3,gripper_l_finger2,-0.460000,0.671770,-0.000000,-0.460000,0.671787,-0.000000,-0.460000,0.671787,-0.000000,0.000017,0.000017,0.000017,3
22,0.440000,4,gripper_r_palm,0.460000,0.691770,0.000000,0.460000,0.691787,-0.000000,0.460000,0.691787,-0.000000,0.000017,0.000017,0.000017,0
22,0.440000,5,gripper_r_finger1,0.460000,0.671770,0.000000,0.460000,0.671787,-0.000000,0.460000,0.671787,-0.000000,0.000017,0.000017,0.000017,2
22,0.440000,6,gripper_r_finger2,0.460000,0.671770,-0.000000,0.460000,0.671787,-0.000000,0.460000,0.671787,-0.000000,0.000017,0.000017,0.000017,3
23,0.460000,0,base,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.150000,0.000000,0.000000,0.000000,0.000000,0
23,0.460000,1,gripper_l_palm,-0.460000,0.690442,0.000000,-0.460000,0.690398,-0.000000,-0.460000,0.690398,-0.000000,0.000044,0.000044,0.000044,0
23,0.460000,2,gripper_l_finger1,-0.460000,0.670442,0.000000,-0.460000,0.670398,-0.000000,-0.460000,0.670398,-0.000000,0.000044,0.000044,0.000044,1
