wall_utc,node,side,seq,expect_seq,ok,detail
0,XPBD_PUBLISH_FORCE,xpbd,182,182,1,ch21
0,XPBD_RECV_POSITION,xpbd,183,183,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,183,183,1,ch21
0,XPBD_RECV_POSITION,xpbd,184,184,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,184,184,1,ch21
0,XPBD_RECV_POSITION,xpbd,185,185,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,185,185,1,ch21
0,XPBD_RECV_POSITION,xpbd,186,186,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,186,186,1,ch21
0,XPBD_RECV_POSITION,xpbd,187,187,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,187,187,1,ch21
0,XPBD_RECV_POSITION,xpbd,188,188,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,188,188,1,ch21
0,XPBD_RECV_POSITION,xpbd,189,189,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,189,189,1,ch21
0,XPBD_RECV_POSITION,xpbd,190,190,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,190,190,1,ch21
0,XPBD_RECV_POSITION,xpbd,191,191,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,191,191,1,ch21
0,XPBD_RECV_POSITION,xpbd,192,192,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,192,192,1,ch21
0,XPBD_RECV_POSITION,xpbd,193,193,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,193,193,1,ch21
0,XPBD_RECV_POSITION,xpbd,194,194,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,194,194,1,ch21
0,XPBD_RECV_POSITION,xpbd,195,195,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,195,195,1,ch21
0,XPBD_RECV_POSITION,xpbd,196,196,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,196,196,1,ch21
0,XPBD_RECV_POSITION,xpbd,197,197,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,197,197,1,ch21
0,XPBD_RECV_POSITION,xpbd,198,198,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,198,198,1,ch21
0,XPBD_RECV_POSITION,xpbd,199,199,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,199,199,1,ch21
0,XPBD_RECV_POSITION,xpbd,200,200,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,200,200,1,ch21
0,XPBD_RECV_POSITION,xpbd,201,201,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,201,201,1,ch21
0,XPBD_RECV_POSITION,xpbd,202,202,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,202,202,1,ch21
0,XPBD_RECV_POSITION,xpbd,203,203,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,203,203,1,ch21
0,XPBD_RECV_POSITION,xpbd,204,204,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,204,204,1,ch21
0,XPBD_RECV_POSITION,xpbd,205,205,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,205,205,1,ch21
0,XPBD_RECV_POSITION,xpbd,206,206,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,206,206,1,ch21
0,XPBD_RECV_POSITION,xpbd,207,207,1,ch20
0,XPBD_PUBLISH_FORCE,xpbd,207,207,1,ch21
