macro_frame,sim_time,logical_name,object_id,data_type,x,y,z,qw,qx,qy,qz,vx,vy,vz,wx,wy,wz
5,0.100000,gripper_l_finger1,gripper_l_finger1_body_v,VELOCITY,,,,,,,,0,-0.0676968172,-0.0144116925,0,0,0
5,0.100000,gripper_l_finger1,gripper_l_finger1_body_w,VELOCITY,,,,,,,,0,0,0,3.73685646,0,0
5,0.100000,gripper_l_finger2,gripper_l_finger2_body_q,POSITION,0,0,0,0.218108997,0.975924432,0,0,,,,,,
5,0.100000,gripper_l_finger2,gripper_l_finger2_body_p,POSITION,-0.460000008,0,0.688404262,1,0,0,0,,,,,,
5,0.100000,gripper_l_finger2,gripper_l_finger2_body_v,VELOCITY,,,,,,,,0,0.0676968172,-0.0144116925,0,0,0
5,0.100000,gripper_l_finger2,gripper_l_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-3.73685646,0,0
5,0.100000,gripper_r_palm,gripper_r_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
5,0.100000,gripper_r_palm,gripper_r_palm_body_p,POSITION,0.460000008,0,0.708404243,1,0,0,0,,,,,,
5,0.100000,gripper_r_palm,gripper_r_palm_body_v,VELOCITY,,,,,,,,0,0,-0.0144116925,0,0,0
5,0.100000,gripper_r_palm,gripper_r_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
5,0.100000,gripper_r_finger1,gripper_r_finger1_body_q,POSITION,0,0,0,0.218108997,-0.975924432,0,0,,,,,,
5,0.100000,gripper_r_finger1,gripper_r_finger1_body_p,POSITION,0.460000008,0,0.688404262,1,0,0,0,,,,,,
5,0.100000,gripper_r_finger1,gripper_r_finger1_body_v,VELOCITY,,,,,,,,0,-0.0676968172,-0.0144116925,0,0,0
5,0.100000,gripper_r_finger1,gripper_r_finger1_body_w,VELOCITY,,,,,,,,0,0,0,3.73685646,0,0
5,0.100000,gripper_r_finger2,gripper_r_finger2_body_q,POSITION,0,0,0,0.218108997,0.975924432,0,0,,,,,,
5,0.100000,gripper_r_finger2,gripper_r_finger2_body_p,POSITION,0.460000008,0,0.688404262,1,0,0,0,,,,,,
5,0.100000,gripper_r_finger2,gripper_r_finger2_body_v,VELOCITY,,,,,,,,0,0.0676968172,-0.0144116925,0,0,0
5,0.100000,gripper_r_finger2,gripper_r_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-3.73685646,0,0
6,0.120000,base,base_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
6,0.120000,base,base_body_p,POSITION,0,-0,0.150000006,1,0,0,0,,,,,,
6,0.120000,base,base_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
6,0.120000,base,base_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
6,0.120000,gripper_l_palm,gripper_l_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
6,0.120000,gripper_l_palm,gripper_l_palm_body_p,POSITION,-0.460000008,0,0.707938015,1,0,0,0,,,,,,
6,0.120000,gripper_l_palm,gripper_l_palm_body_v,VELOCITY,,,,,,,,0,0,-0.0219224803,0,0,0
6,0.120000,gripper_l_palm,gripper_l_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
6,0.120000,gripper_l_finger1,gripper_l_finger1_body_q,POSITION,0,0,0,0.246779084,-0.969071746,0,0,,,,,,
6,0.120000,gripper_l_finger1,gripper_l_finger1_body_p,POSITION,-0.460000008,0,0.687938035,1,0,0,0,,,,,,
6,0.120000,gripper_l_finger1,gripper_l_finger1_body_v,VELOCITY,,,,,,,,0,-0.0402891934,-0.0219224803,0,0,0
6,0.120000,gripper_l_finger1,gripper_l_finger1_body_w,VELOCITY,,,,,,,,0,0,0,2.29070449,0,0
6,0.120000,gripper_l_finger2,gripper_l_finger2_body_q,POSITION,0,0,0,0.246779084,0.969071746,0,0,,,,,,
6,0.120000,gripper_l_finger2,gripper_l_finger2_body_p,POSITION,-0.460000008,0,0.687938035,1,0,0,0,,,,,,
6,0.120000,gripper_l_finger2,gripper_l_finger2_body_v,VELOCITY,,,,,,,,0,0.0402891934,-0.0219224803,0,0,0
6,0.120000,gripper_l_finger2,gripper_l_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-2.29070449,0,0
6,0.120000,gripper_r_palm,gripper_r_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
6,0.120000,gripper_r_palm,gripper_r_palm_body_p,POSITION,0.460000008,0,0.707938015,1,0,0,0,,,,,,
6,0.120000,gripper_r_palm,gripper_r_palm_body_v,VELOCITY,,,,,,,,0,0,-0.0219224803,0,0,0
6,0.120000,gripper_r_palm,gripper_r_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
6,0.120000,gripper_r_finger1,gripper_r_finger1_body_q,POSITION,0,0,0,0.246779084,-0.969071746,0,0,,,,,,
6,0.120000,gripper_r_finger1,gripper_r_finger1_body_p,POSITION,0.460000008,0,0.687938035,1,0,0,0,,,,,,
6,0.120000,gripper_r_finger1,gripper_r_finger1_body_v,VELOCITY,,,,,,,,0,-0.0402891934,-0.0219224803,0,0,0
6,0.120000,gripper_r_finger1,gripper_r_finger1_body_w,VELOCITY,,,,,,,,0,0,0,2.29070449,0,0
6,0.120000,gripper_r_finger2,gripper_r_finger2_body_q,POSITION,0,0,0,0.246779084,0.969071746,0,0,,,,,,
6,0.120000,gripper_r_finger2,gripper_r_finger2_body_p,POSITION,0.460000008,0,0.687938035,1,0,0,0,,,,,,
6,0.120000,gripper_r_finger2,gripper_r_finger2_body_v,VELOCITY,,,,,,,,0,0.0402891934,-0.0219224803,0,0,0
6,0.120000,gripper_r_finger2,gripper_r_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-2.29070449,0,0
7,0.140000,base,base_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
7,0.140000,base,base_body_p,POSITION,0,-0,0.150000006,1,0,0,0,,,,,,
7,0.140000,base,base_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
7,0.140000,base,base_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
7,0.140000,gripper_l_palm,gripper_l_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
7,0.140000,gripper_l_palm,gripper_l_palm_body_p,POSITION,-0.460000008,0,0.707401693,1,0,0,0,,,,,,
7,0.140000,gripper_l_palm,gripper_l_palm_body_v,VELOCITY,,,,,,,,0,0,-0.0224254671,0,0,0
7,0.140000,gripper_l_palm,gripper_l_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
7,0.140000,gripper_l_finger1,gripper_l_finger1_body_q,POSITION,0,0,0,0.263452768,-0.964672267,0,0,,,,,,
7,0.140000,gripper_l_finger1,gripper_l_finger1_body_p,POSITION,-0.460000008,0,0.687401712,1,0,0,0,,,,,,
7,0.140000,gripper_l_finger1,gripper_l_finger1_body_v,VELOCITY,,,,,,,,0,-0.0218910631,-0.0224254671,0,0,0
7,0.140000,gripper_l_finger1,gripper_l_finger1_body_w,VELOCITY,,,,,,,,0,0,0,1.26895928,0,0
7,0.140000,gripper_l_finger2,gripper_l_finger2_body_q,POSITION,0,0,0,0.263452768,0.964672267,0,0,,,,,,
7,0.140000,gripper_l_finger2,gripper_l_finger2_body_p,POSITION,-0.460000008,0,0.687401712,1,0,0,0,,,,,,
7,0.140000,gripper_l_finger2,gripper_l_finger2_body_v,VELOCITY,,,,,,,,0,0.0218910631,-0.0224254671,0,0,0
7,0.140000,gripper_l_finger2,gripper_l_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-1.26895928,0,0
7,0.140000,gripper_r_palm,gripper_r_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
7,0.140000,gripper_r_palm,gripper_r_palm_body_p,POSITION,0.460000008,0,0.707401693,1,0,0,0,,,,,,
7,0.140000,gripper_r_palm,gripper_r_palm_body_v,VELOCITY,,,,,,,,0,0,-0.0224254671,0,0,0
7,0.140000,gripper_r_palm,gripper_r_palm_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
7,0.140000,gripper_r_finger1,gripper_r_finger1_body_q,POSITION,0,0,0,0.263452768,-0.964672267,0,0,,,,,,
7,0.140000,gripper_r_finger1,gripper_r_finger1_body_p,POSITION,0.460000008,0,0.687401712,1,0,0,0,,,,,,
7,0.140000,gripper_r_finger1,gripper_r_finger1_body_v,VELOCITY,,,,,,,,0,-0.0218910631,-0.0224254671,0,0,0
7,0.140000,gripper_r_finger1,gripper_r_finger1_body_w,VELOCITY,,,,,,,,0,0,0,1.26895928,0,0
7,0.140000,gripper_r_finger2,gripper_r_finger2_body_q,POSITION,0,0,0,0.263452768,0.964672267,0,0,,,,,,
7,0.140000,gripper_r_finger2,gripper_r_finger2_body_p,POSITION,0.460000008,0,0.687401712,1,0,0,0,,,,,,
7,0.140000,gripper_r_finger2,gripper_r_finger2_body_v,VELOCITY,,,,,,,,0,0.0218910631,-0.0224254671,0,0,0
7,0.140000,gripper_r_finger2,gripper_r_finger2_body_w,VELOCITY,,,,,,,,0,0,0,-1.26895928,0,0
8,0.160000,base,base_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
8,0.160000,base,base_body_p,POSITION,0,-0,0.150000006,1,0,0,0,,,,,,
8,0.160000,base,base_body_v,VELOCITY,,,,,,,,0,0,0,0,0,0
8,0.160000,base,base_body_w,VELOCITY,,,,,,,,0,0,0,0,0,0
8,0.160000,gripper_l_palm,gripper_l_palm_body_q,POSITION,0,0,0,1,0,0,0,,,,,,
8,0.160000,gripper_l_palm,gripper_l_palm_body_p,POSITION,-0.460000008,0,0.706839919,1,0,0,0,,,,,,
